2025-11-07:w,1232220,775784,456436,"For expiry 2025-11-07, TSLA saw extremely high total volume of 1,232,220 contracts, with call volume at 775,784 and put volume at 456,436. This indicates strong bullish activity with a call/put ratio of 1.70. Traders were heavily positioning for near-term upside."
2025-11-14:w,260329,168410,91919,"For expiry 2025-11-14, total TSLA options volume was 260,329, including 168,410 calls and 91,919 puts. The call/put ratio of 1.83 suggests moderately bullish sentiment after the previous week’s spike."
2025-11-21:m,131369,86365,45004,"For expiry 2025-11-21, TSLA recorded 131,369 total contracts, 86,365 calls and 45,004 puts. The call/put ratio of 1.92 reflects a clear bullish lean into a monthly expiration."
2025-11-28:w,27812,19567,8245,"For expiry 2025-11-28, TSLA volume was 27,812 with call volume at 19,567 and put volume at 8,245. The 2.37 call/put ratio indicates strong bullish speculation, but on lower absolute volume."
2025-12-05:w,60298,55718,4580,"For expiry 2025-12-05, TSLA had 60,298 total contracts. Calls dominated with 55,718 calls vs only 4,580 puts, producing an extremely high call/put ratio of 12.17, a highly bullish skew."
2025-12-12:w,5581,3539,2042,"For expiry 2025-12-12, volume was light at 5,581 contracts. Calls were 3,539 and puts 2,042, giving a balanced call/put ratio of 1.73, indicating mild bullish bias."
2025-12-19:m,56260,42996,13264,"For 2025-12-19 monthly expiry, TSLA had 56,260 volume, with 42,996 calls and 13,264 puts. A call/put ratio of 3.24 reflects strong bullish positioning into year-end."
2026-01-16:m,53256,37543,15713,"For expiry 2026-01-16, TSLA options volume was 53,256 with 37,543 calls and 15,713 puts. The call/put ratio of 2.39 shows bullish accumulation into early 2026."
2026-02-20:m,14926,11133,3793,"For expiry 2026-02-20, TSLA traded 14,926 contracts. Calls were 11,133 and puts 3,793, giving a call/put ratio of 2.93. Traders show optimistic sentiment into February."
2026-03-20:m,16252,13678,2574,"For expiry 2026-03-20, TSLA saw 16,252 contracts with 13,678 calls and 2,574 puts. The call/put ratio of 5.31 suggests very strong bullish conviction."
2026-04-17:m,5923,4624,1299,"For expiry 2026-04-17, TSLA volume was 5,923 with 4,624 calls and 1,299 puts. The call/put ratio of 3.56 shows consistent bullish skew."
2026-05-15:m,2807,1299,1508,"For expiry 2026-05-15, TSLA had low volume at 2,807 contracts, with a nearly balanced call/put ratio of 0.86, suggesting neutral sentiment."
2026-06-18:w,16619,9166,7453,"For expiry 2026-06-18, TSLA volume was 16,619 with 9,166 calls and 7,453 puts. The call/put ratio of 1.23 indicates mild bullish sentiment during a weekly cycle."
2026-07-17:m,1700,884,816,"For expiry 2026-07-17, TSLA had light volume at 1,700 contracts, with calls 884 and puts 816. The call/put ratio of 1.08 signals neutral sentiment."
2026-08-21:m,1989,1456,533,"For 2026-08-21 expiry, volume was 1,989 with a strong call bias: 1,456 calls vs 533 puts, a call/put ratio of 2.73."
2026-09-18:m,3508,2370,1138,"For expiry 2026-09-18, TSLA saw 3,508 contracts with calls at 2,370 and puts at 1,138. The call/put ratio of 2.08 shows medium bullish positioning."
2026-12-18:m,9780,3831,5949,"For expiry 2026-12-18, TSLA had 9,780 total contracts. With calls at 3,831 and puts at 5,949, the call/put ratio of 0.64 reflects bearish sentiment for year-end 2026."
2027-01-15:m,5166,3832,1334,"For expiry 2027-01-15, TSLA volume was 5,166 with a bullish call skew: 3,832 calls and 1,334 puts, a call/put ratio of 2.87."
2027-06-17:w,2188,1026,1162,"For expiry 2027-06-17, TSLA had 2,188 contracts, with calls at 1,026 and puts at 1,162. The call/put ratio of 0.88 indicates slight bearishness."
2027-12-17:m,2554,1958,596,"For expiry 2027-12-17, TSLA volume was 2,554. Calls dominated at 1,958 vs 596 puts, producing a highly bullish 3.28 call/put ratio."
2028-01-21:m,5248,4377,871,"For expiry 2028-01-21, TSLA saw 5,248 total contracts with 4,377 calls and 871 puts. A call/put ratio of 5.02 suggests very strong long-term bullish conviction."
