url,paragraph_index,paragraph_text,scrape_timestamp
https://www.ark-invest.com/articles/valuation-models/arks-tesla-price-target-2027,1,"The information presented reflects the views and assumptions of the authors at the time of publication. Please note that this research is at least one year old and the authors’ current views may materially differ from those presented without notice. The results will not be updated as ARK’s internal models change, or any information upon which ARK relies upon changes.",2025-11-09 11:43:48 UTC
https://www.ark-invest.com/articles/valuation-models/arks-tesla-price-target-2027,2,"ARK’s updated open-source Tesla model yields an expected value per share of $2,000 in 2027. The bull and bear cases, tuned to the 75th and 25th percentile Monte Carlo outcomes, respectively, are approximately $2,500 and $1,400 per share, as shown below.[1]",2025-11-09 11:43:48 UTC
https://www.ark-invest.com/articles/valuation-models/arks-tesla-price-target-2027,3,"Source: ARK Investment Management LLC, 2023.",2025-11-09 11:43:48 UTC
https://www.ark-invest.com/articles/valuation-models/arks-tesla-price-target-2027,4,"Our updated Monte Carlo model moves the prior 2026 target out one year to 2027. For the benefit of readers, this article presents “expected” (or “base”), “bear,” and “bull” cases as a way of contextualizing the meaning of our 2027 share price expectations. Methodologically, we arrive at our base-case share price by averaging one million simulations produced by our Monte Carlo model. Our bear and bull cases are the 25th and 75th percentile values, respectively. Forecasts are inherently limited and cannot be relied upon as a basis for making an investment decision and are built on our modeling that reflects our biases and long term positive view of the company. Please see additional disclosure below on forecasts and hypothetical performance. For informational purposes only and should not be considered investment advice, or a recommendation to buy, sell or hold any particular security.",2025-11-09 11:43:48 UTC
https://www.ark-invest.com/articles/valuation-models/arks-tesla-price-target-2027,5,"This research update presents ARK’s new open-source Tesla model, which incorporates distributions for 41 independent inputs to simulate a range of potential outcomes for the company.",2025-11-09 11:43:48 UTC
https://www.ark-invest.com/articles/valuation-models/arks-tesla-price-target-2027,6,"Tesla’s prospective robotaxi business line is a key driver, contributing 67% of expected enterprise value and 64% of expected EBITDA in 2027.[2] Across our simulation set, electric vehicles account for 47% of revenues in 2027, at substantially lower margins than robotaxi revenue. The chart below breaks down attributable revenue, EBITDA, and value by business-line.",2025-11-09 11:43:48 UTC
https://www.ark-invest.com/articles/valuation-models/arks-tesla-price-target-2027,7,"Note: The above charts were updated on 4/21/2023. Previously, the pie charts included 2026 expectations. They have now been updated to 2027. Source: ARK Investment Management LLC, 2023.",2025-11-09 11:43:48 UTC
https://www.ark-invest.com/articles/valuation-models/arks-tesla-price-target-2027,8,"Forecasts are inherently limited and cannot be relied upon as a basis for making an investment decision and are built on our modeling that reflects our biases and long term positive view of the company. Please see additional disclosure below on forecasts and hypothetical performance. For informational purposes only and should not be considered investment advice, or a recommendation to buy, sell or hold any particular security.",2025-11-09 11:43:48 UTC
https://www.ark-invest.com/articles/valuation-models/arks-tesla-price-target-2027,9,"This article outlines five topics, including the risks and limits associated with our assumptions:",2025-11-09 11:43:48 UTC
https://www.ark-invest.com/articles/valuation-models/arks-tesla-price-target-2027,10,"Example Bear and Bull Outcomes
We do not provide a single bull or bear case because we dimension the bull and bear outcomes as the 75th and 25th percentile output from the simulation. Nonetheless, the table below presents what we believe are plausible examples for each case.[3]",2025-11-09 11:43:48 UTC
